Unnamed: 0.1,Unnamed: 0,French,English
1,1,histoire,history
2,2,chercher,search
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
9,9,frère,brother
10,10,laisser,let
11,11,car,because
12,12,mettre,to put
13,13,laisse,leash
14,14,eux,them
16,16,chaque,each
17,17,parlé,speak
18,18,arrivé,come
19,19,bébé,baby
20,20,longtemps,long time
21,21,vont,will
24,24,aucune,any
25,25,place,square
26,27,compris,understood
28,29,étaient,were
29,30,attention,Warning
31,32,affaire,case
33,35,leurs,their
34,36,donné,given
35,37,train,train
36,38,corps,body
37,40,façon,way
38,41,dont,whose
39,42,trouve,find
40,43,premier,first
42,45,première,first
43,46,côté,side
44,47,pouvoir,power
45,48,vieux,old
46,49,sois,be
47,50,tiens,here
48,51,matin,morning
49,52,tellement,so much
50,53,point,point
51,54,venu,came
52,55,suite,after
53,56,pardon,sorry
54,57,venez,come
56,59,demandé,request
57,60,chambre,bedroom
58,61,mis,placed
59,62,belle,beautiful
60,63,droit,law
61,64,aujourd'hui,today
62,65,mari,husband
63,66,cause,cause
64,67,enfin,finally
65,68,espère,hope
66,69,attendez,Wait
70,74,dirait,would say
71,75,terre,Earth
72,76,compte,account
73,77,donne,given
74,78,loin,far
75,79,fin,end
76,80,croire,believe
77,81,chérie,sweetheart
78,82,gros,large
79,83,plutôt,rather
80,85,filles,girls
81,86,bureau,office
